id,type,name,description,process_steps,iso,iso_title
1,Equipment,Workbench,Workbench,,,
2,Equipment,Workbench with fume extraction,Workbench with fume extraction,,,
3,Equipment,3D printer,Stratasys Dimension Elite 3D printer,,,
4,Equipment,Tool milling machine,Knuth Tool milling machine WF 4.1,,,
5,Equipment,Lathe,JET JTL-618DTC DRO lathe,,,
6,Equipment,Laser system,Universal PLS6MW laser system,,,
7,Equipment,Inspection table,Inspection table,,,
8,Equipment,Bench work table,Bench work table,,,
9,Equipment,Bench drilling machine,Bench drilling machine 2M112,,,
10,Equipment,Bench drilling machine,Bench drilling Machine 2M122,,,
11,Equipment,CNC Electric Discharge Machine,Knuth Smart DEM CNC Electric Discharge Machine,,,
12,Equipment,CNC Wire Electrical Discharge Machine,Mitsubishi MV2400S CNC Wire Electrical Discharge Machine,,,
13,Equipment,Fully automatic band saw,Knuth ABS 320B Fully automatic band saw,,,
14,Equipment,Guillotine shears,Guillotine shears KNUTH KHT 2504F,,,
15,Equipment,Guillotine shears,Guillotine shears KNUTH KHT 3220C,,,
16,Equipment,Universal screw-cutting lathe,Universal screw-cutting lathe 16B16KP,,,
17,Equipment,Universal screw-cutting lathe,Universal screw-cutting lathe IZH 250ITVM.01,,,
19,Equipment,Bench drill press,Knuth KST Bench drill press,,,
20,Equipment,Laser cutting machine,TRUMPF TC L Laser cutting machine,,,
21,Equipment,Vertical machining center,Haas Super Mini Mill CNC Vertical machining center,,,
22,Equipment,CNC turn-mill center ,CNC turn-mill center DMG Mori CTX 310 Ecoline,,,
23,Equipment,CNC turning center,CNC turning center HAAS ST-30SS,,,
24,Equipment,Manual folding machine,"Manual folding machine KNUTH SBS 1020;2,5",,,
25,Equipment,Inspection table,Inspection table,,,
26,Equipment,Equipment of the subcontracting enterprise,Equipment of the subcontracting enterprise,,,
27,Equipment,Cut-off machine,Cut-off machine JET JCOM-400N,,,
28,Tooling,Arbor mandrel,,Turning,,
29,Tooling,Bench comparator stand,,Inspection,,
30,Tooling,Brazed tip carbide tool,,Turning,ISO 5608,Turning and copying tool holders and cartridges for indexable inserts — Designation
31,Tooling,Chamfer vernier caliper,,Inspection;Turning,,
